WB TANK 1 Group 14; Version 1.0
Volume water ballast [m3], 0
COV WB [m], 0
Height of WB [% of h_tank], 8.512
Tank lxbxh [m], 0
Area WB plane [m2], 0
COA WB plane [m], 0
Inertia WB plane [m4], 0
WB TANK 2 Group 14; Version 1.0
Volume WB [m3], 0
COV WB [m], 0
Height of WB [% of h_tank], 60.8137
Tank lxbxh [m], 0
Area WB plane [m2], 0
COA WB plane [m], 0
Inertia WB plane [m4], 0
WB TANK 3 Group 14; Version 1.0
Volume water ballast [m3], 0
COV WB [m], 0
Height of WB [% of h_tank], 22
Tank lxbxh [m], 0
Area WB plane [m2], 0
COA WB plane [m], 0
Inertia WB plane [m4], 0
